uf,regiao,bioma,mes,precipitacao_mm,precipitacao_max_24h_mm,dias_com_chuva,temperatura_media_c,umidade_relativa_pct,rajada_vento_max_kmh,altitude_m,declividade_media_pct,densidade_demografica_hab_km2,pct_area_urbana,indice_vegetacao_ndvi,tipo_desastre
PR,Sul,Mata Atlantica,12,233.2,104.1,22,19.6,82.6,50.5,460.0,10.9,2.9,14.7,0.583,tempestade
RS,Sul,Mata Atlantica,9,119.8,40.2,8,17.8,94.9,63.3,594.0,22.1,44.1,18.7,0.343,nenhum
MG,Sudeste,Mata Atlantica,12,121.0,19.4,9,24.8,85.6,61.0,324.0,1.1,3.7,12.7,0.487,nenhum
PI,Nordeste,Caatinga,1,96.4,14.9,4,30.1,61.5,23.4,396.0,11.8,1.9,11.7,0.387,incendio_florestal
MS,Centro-Oeste,Cerrado,3,87.2,27.4,4,26.3,64.8,39.4,650.0,17.0,12.9,20.3,0.413,nenhum
AM,Norte,Amazonia,8,53.0,6.9,4,22.2,97.0,35.0,76.0,3.4,760.7,24.6,0.348,nenhum
SE,Nordeste,Caatinga,7,39.7,13.7,2,26.3,60.8,39.2,18.0,22.3,14.7,21.6,0.267,incendio_florestal
RJ,Sudeste,Mata Atlantica,2,169.8,38.2,15,22.2,87.7,58.8,893.0,14.6,322.8,32.3,0.534,nenhum
SP,Sudeste,Cerrado,9,123.7,56.2,8,17.8,87.9,68.2,462.0,19.4,33.6,15.2,0.462,deslizamento
SC,Sul,Pampa,1,108.4,58.6,4,19.7,83.2,26.3,618.0,7.0,312.9,32.3,0.344,nenhum
RN,Nordeste,Mata Atlantica,12,41.6,16.3,2,31.7,63.2,26.9,216.0,6.5,137.3,28.4,0.334,estiagem_seca
CE,Nordeste,Caatinga,2,86.1,38.4,5,30.1,75.0,31.6,118.0,7.4,356.8,30.2,0.448,estiagem_seca
MS,Centro-Oeste,Cerrado,6,68.5,15.4,3,22.9,72.4,58.2,535.0,8.8,24.2,17.6,0.438,nenhum
AL,Nordeste,Caatinga,10,70.6,44.9,4,29.1,58.8,57.0,456.0,5.3,73.7,26.9,0.207,incendio_florestal
AC,Norte,Amazonia,7,48.6,8.0,2,22.4,89.5,8.1,345.0,8.6,59.1,26.9,0.291,incendio_florestal
MT,Centro-Oeste,Pantanal,9,104.5,56.3,8,21.5,67.8,43.8,865.0,14.0,2229.6,22.2,0.493,nenhum
BA,Nordeste,Cerrado,9,26.4,10.6,2,22.6,56.3,16.6,215.0,2.3,190.2,23.2,0.172,deslizamento
MG,Sudeste,Cerrado,12,385.7,196.7,26,23.5,85.9,41.8,1209.0,20.5,39.8,20.9,0.661,deslizamento
MT,Centro-Oeste,Cerrado,6,84.2,24.9,10,21.7,72.3,14.0,472.0,13.3,1043.1,42.9,0.25,nenhum
MG,Sudeste,Mata Atlantica,12,158.1,37.1,14,21.5,93.5,35.7,477.0,13.7,1181.2,31.5,0.489,nenhum
SP,Sudeste,Cerrado,7,134.3,73.1,8,18.6,76.8,38.3,1126.0,16.5,18.8,16.1,0.678,nenhum
RN,Nordeste,Mata Atlantica,11,40.3,8.4,3,28.8,65.3,22.8,283.0,6.0,75.1,16.4,0.303,estiagem_seca
SP,Sudeste,Mata Atlantica,9,102.3,45.7,9,22.5,90.4,35.8,284.0,11.7,27.9,20.5,0.391,nenhum
MG,Sudeste,Mata Atlantica,2,264.4,92.5,20,25.1,79.3,34.8,1171.0,15.1,4.7,15.6,0.839,deslizamento
MA,Nordeste,Cerrado,8,25.0,8.3,1,24.6,68.0,37.8,256.0,12.6,65.0,29.2,0.251,estiagem_seca
PI,Nordeste,Cerrado,11,46.0,14.8,5,30.0,58.9,11.1,40.0,12.5,0.5,9.6,0.29,estiagem_seca
MG,Sudeste,Cerrado,2,124.4,24.0,7,23.6,67.9,21.3,1252.0,20.9,55.8,23.1,0.319,inundacao
PB,Nordeste,Caatinga,11,63.2,36.8,4,25.8,69.2,43.0,623.0,11.3,45.7,21.7,0.404,nenhum
SE,Nordeste,Caatinga,2,252.0,138.2,18,28.5,81.7,33.4,452.0,7.4,44.9,24.3,0.574,tempestade
PA,Norte,Amazonia,11,331.1,102.5,22,27.0,89.8,24.3,40.0,2.5,35.9,20.1,0.656,inundacao
RJ,Sudeste,Cerrado,10,231.3,111.4,15,21.5,95.4,27.2,401.0,10.5,25.9,16.4,0.677,tempestade
SP,Sudeste,Mata Atlantica,2,179.0,32.4,19,22.2,83.8,72.0,865.0,12.3,3.8,12.5,0.609,tempestade
RJ,Sudeste,Mata Atlantica,9,67.6,15.0,5,20.6,78.3,15.3,768.0,6.4,6.0,15.9,0.239,nenhum
RJ,Sudeste,Mata Atlantica,2,189.7,139.7,14,23.8,77.1,120.7,877.0,20.1,45.3,25.2,0.47,tempestade
MT,Centro-Oeste,Cerrado,7,89.1,28.7,5,24.0,76.6,23.9,626.0,14.7,45.8,22.5,0.388,nenhum
ES,Sudeste,Mata Atlantica,12,407.7,200.2,27,21.2,78.1,47.4,1215.0,15.1,179.5,29.5,0.53,deslizamento
PB,Nordeste,Mata Atlantica,3,112.0,33.2,11,29.3,74.9,36.5,128.0,5.4,24.2,13.2,0.49,nenhum
PA,Norte,Amazonia,3,279.1,67.3,25,26.8,98.3,36.2,216.0,14.2,9.9,19.8,0.577,nenhum
MG,Sudeste,Mata Atlantica,6,75.5,35.2,5,20.1,69.8,25.1,1078.0,9.1,31.0,15.8,0.348,nenhum
GO,Centro-Oeste,Cerrado,5,60.8,10.0,8,20.8,66.1,26.7,1461.0,8.4,1.8,10.6,0.322,nenhum
ES,Sudeste,Mata Atlantica,1,154.8,101.5,10,21.5,79.2,35.4,876.0,21.1,64.4,18.5,0.558,deslizamento
MG,Sudeste,Cerrado,6,48.2,27.1,3,17.0,72.9,17.7,942.0,15.7,116.6,20.3,0.269,incendio_florestal
SP,Sudeste,Mata Atlantica,4,264.0,115.5,16,18.9,69.0,74.1,92.0,9.4,358.1,21.2,0.716,tempestade
ES,Sudeste,Mata Atlantica,2,196.7,79.6,14,23.4,91.7,28.7,632.0,20.6,74.7,15.2,0.669,deslizamento
RJ,Sudeste,Cerrado,4,180.2,33.6,17,23.7,76.3,50.6,165.0,12.0,9.1,19.4,0.543,nenhum
SE,Nordeste,Mata Atlantica,1,83.7,20.5,5,31.3,67.8,37.1,344.0,3.4,17.5,16.9,0.397,deslizamento
AC,Norte,Amazonia,11,111.6,26.2,7,26.0,88.6,41.7,266.0,3.1,37.5,15.7,0.385,nenhum
GO,Centro-Oeste,Cerrado,12,256.8,75.3,22,30.4,82.8,43.6,91.0,3.3,17.2,17.2,0.601,tempestade
CE,Nordeste,Cerrado,5,126.4,33.9,6,27.1,66.4,20.3,524.0,6.0,8.5,16.0,0.369,nenhum
PI,Nordeste,Cerrado,11,74.2,34.0,5,30.2,77.1,58.0,313.0,1.0,19.8,20.8,0.358,incendio_florestal
PR,Sul,Pampa,6,190.8,75.5,16,15.8,82.1,17.8,462.0,14.1,210.8,26.1,0.505,nenhum
PB,Nordeste,Mata Atlantica,11,41.8,8.2,3,28.9,63.8,22.5,658.0,17.8,86.3,25.3,0.309,estiagem_seca
RO,Norte,Amazonia,3,245.3,83.3,20,25.2,100.0,39.8,118.0,14.7,177.3,19.8,0.641,inundacao
BA,Nordeste,Caatinga,4,274.1,123.9,23,27.0,79.5,36.2,971.0,21.5,15.1,20.8,0.632,deslizamento
CE,Nordeste,Caatinga,9,38.1,18.7,4,25.1,77.2,23.8,271.0,4.3,386.0,35.4,0.228,incendio_florestal
MG,Sudeste,Cerrado,3,266.5,100.4,22,23.9,91.3,59.7,642.0,5.9,83.0,16.3,0.532,tempestade
ES,Sudeste,Mata Atlantica,10,30.1,4.0,0,22.5,68.3,42.2,1141.0,22.3,90.3,21.1,0.335,estiagem_seca
ES,Sudeste,Mata Atlantica,6,108.1,40.7,13,18.9,77.4,40.1,647.0,10.3,45.3,25.3,0.373,nenhum
RJ,Sudeste,Mata Atlantica,5,64.4,33.3,8,20.3,81.4,32.2,452.0,32.9,1.2,10.0,0.338,deslizamento
CE,Nordeste,Mata Atlantica,6,77.9,39.1,4,24.2,71.0,44.2,166.0,10.2,389.8,19.5,0.473,nenhum
SP,Sudeste,Mata Atlantica,10,119.0,22.9,7,24.2,82.6,50.0,189.0,11.5,77.9,15.8,0.424,nenhum
BA,Nordeste,Caatinga,1,109.9,24.1,9,31.7,59.4,26.5,72.0,9.8,10.7,13.6,0.478,estiagem_seca
AC,Norte,Amazonia,10,372.3,283.6,27,20.9,90.3,34.5,135.0,0.6,1101.4,24.6,0.518,inundacao
RR,Norte,Amazonia,10,179.6,74.9,17,20.3,90.5,20.4,89.0,4.5,50.7,24.6,0.485,nenhum
MG,Sudeste,Mata Atlantica,10,279.9,97.2,22,17.5,81.3,63.9,906.0,3.8,28.2,13.5,0.77,tempestade
GO,Centro-Oeste,Amazonia,12,109.9,29.1,6,26.6,60.9,20.9,699.0,6.7,11.4,16.9,0.488,nenhum
SE,Nordeste,Caatinga,10,49.9,8.6,4,27.1,55.3,19.8,209.0,9.8,19.1,22.5,0.349,incendio_florestal
GO,Centro-Oeste,Cerrado,7,24.5,6.7,0,22.2,70.6,48.4,176.0,1.5,4.4,16.3,0.218,estiagem_seca
BA,Nordeste,Caatinga,6,139.1,54.8,10,24.3,65.5,37.5,587.0,5.9,25.2,20.1,0.486,nenhum
SP,Sudeste,Mata Atlantica,5,181.2,69.7,15,21.0,82.8,73.7,413.0,25.2,40.7,19.2,0.521,tempestade
MS,Centro-Oeste,Amazonia,10,100.2,31.0,12,27.2,76.2,29.4,1017.0,9.9,113.1,21.0,0.422,incendio_florestal
PE,Nordeste,Cerrado,5,65.8,22.8,4,27.1,69.6,35.6,219.0,14.7,3.2,13.0,0.421,nenhum
PE,Nordeste,Cerrado,7,77.2,23.5,7,24.8,68.2,31.4,501.0,11.7,14.7,20.5,0.371,nenhum
ES,Sudeste,Mata Atlantica,2,273.1,72.6,29,22.9,87.7,61.9,995.0,15.8,7.7,13.3,0.764,tempestade
PB,Nordeste,Cerrado,4,104.8,37.1,11,29.1,81.6,34.9,548.0,15.6,191.4,19.7,0.487,estiagem_seca
RO,Norte,Amazonia,4,204.2,26.0,17,25.5,89.5,31.5,33.0,14.5,135.4,19.0,0.508,nenhum
RR,Norte,Amazonia,6,153.8,41.6,10,27.2,88.6,33.8,231.0,7.6,2.8,12.5,0.384,nenhum
PR,Sul,Mata Atlantica,7,183.0,47.9,11,14.2,95.8,10.7,555.0,20.6,32.6,17.9,0.628,tempestade
PR,Sul,Mata Atlantica,9,80.5,23.8,8,15.8,76.8,14.7,384.0,16.0,402.4,37.1,0.319,nenhum
RJ,Sudeste,Mata Atlantica,6,84.9,44.7,3,19.8,74.4,23.9,119.0,15.5,149.0,23.0,0.463,nenhum
PE,Nordeste,Caatinga,2,151.4,57.7,13,33.8,71.1,39.1,51.0,3.7,29.3,21.4,0.512,estiagem_seca
RS,Sul,Mata Atlantica,7,136.9,73.1,9,16.2,85.3,46.8,532.0,7.8,93.6,28.7,0.552,nenhum
ES,Sudeste,Mata Atlantica,1,358.7,178.4,25,24.7,76.2,55.1,818.0,18.0,163.1,30.8,0.691,deslizamento
SP,Sudeste,Cerrado,11,353.0,59.7,23,23.4,79.6,45.6,840.0,7.6,694.9,22.6,0.69,inundacao
MS,Centro-Oeste,Cerrado,10,156.3,50.4,10,27.4,77.8,42.6,358.0,3.7,25.7,21.6,0.469,nenhum
SE,Nordeste,Caatinga,3,92.1,26.1,8,29.9,63.4,32.2,86.0,0.5,380.4,30.5,0.318,incendio_florestal
AC,Norte,Amazonia,4,314.7,192.3,25,28.3,87.8,54.1,127.0,19.9,21.6,18.0,0.551,deslizamento
PR,Sul,Mata Atlantica,1,197.2,53.4,15,21.7,88.8,33.7,528.0,7.4,20.1,21.7,0.614,nenhum
DF,Centro-Oeste,Cerrado,5,186.6,77.8,11,23.4,64.2,69.8,718.0,1.9,37.5,18.5,0.502,tempestade
SE,Nordeste,Caatinga,1,73.2,34.9,4,29.7,57.0,35.3,701.0,12.4,62.8,15.5,0.346,incendio_florestal
RN,Nordeste,Mata Atlantica,12,97.3,30.5,9,30.8,74.2,22.7,284.0,2.9,153.1,16.4,0.403,estiagem_seca
SP,Sudeste,Cerrado,2,441.0,249.7,27,25.9,81.3,113.9,998.0,3.2,42.7,22.4,0.624,tempestade
PB,Nordeste,Caatinga,8,50.2,17.4,0,25.0,64.0,11.1,148.0,14.7,23.0,18.2,0.328,incendio_florestal
SC,Sul,Pampa,7,116.4,27.1,8,14.9,83.1,28.4,188.0,3.0,13.7,19.5,0.26,nenhum
ES,Sudeste,Mata Atlantica,3,194.7,62.0,16,20.6,80.0,37.6,362.0,26.3,120.2,30.7,0.54,deslizamento
MG,Sudeste,Mata Atlantica,10,100.5,38.8,13,23.7,87.2,7.0,993.0,6.8,52.4,23.1,0.438,nenhum
MT,Centro-Oeste,Cerrado,2,469.0,138.7,24,24.8,75.6,42.6,77.0,7.5,76.9,23.4,0.535,inundacao
RJ,Sudeste,Mata Atlantica,11,165.4,63.8,15,23.1,85.0,27.8,1313.0,26.8,89.3,18.0,0.474,deslizamento
RJ,Sudeste,Mata Atlantica,9,100.1,41.8,11,19.3,70.3,27.7,350.0,17.7,400.2,29.4,0.47,nenhum
MG,Sudeste,Cerrado,8,59.7,17.2,5,22.8,87.2,40.9,673.0,16.4,264.7,26.8,0.3,nenhum
TO,Norte,Amazonia,11,461.7,106.5,26,24.5,98.0,19.0,165.0,4.8,151.8,26.7,0.599,inundacao
DF,Centro-Oeste,Cerrado,5,74.8,44.8,6,21.9,70.1,39.6,1307.0,18.3,39.3,20.2,0.407,nenhum
PA,Norte,Amazonia,4,63.2,17.0,8,26.9,87.5,60.5,136.0,7.9,7.2,15.6,0.266,incendio_florestal
GO,Centro-Oeste,Cerrado,2,233.1,78.7,26,26.0,77.4,34.8,734.0,8.5,24.0,21.6,0.56,nenhum
PI,Nordeste,Cerrado,12,48.4,12.3,4,31.3,53.4,50.0,60.0,4.9,43.1,25.9,0.222,incendio_florestal
BA,Nordeste,Caatinga,5,157.1,67.3,14,27.5,68.4,40.7,267.0,5.9,17.7,18.0,0.607,nenhum
TO,Norte,Amazonia,10,480.0,116.4,30,21.9,100.0,23.0,387.0,18.4,115.3,29.9,0.566,deslizamento
ES,Sudeste,Mata Atlantica,4,88.8,48.2,9,23.2,75.0,13.2,145.0,11.2,54.6,22.8,0.366,nenhum
RN,Nordeste,Cerrado,12,97.3,26.5,10,26.9,58.9,34.4,647.0,5.9,12.8,15.4,0.491,nenhum
RS,Sul,Pampa,11,130.8,30.8,10,21.8,80.5,17.5,88.0,20.1,379.9,25.1,0.367,nenhum
RJ,Sudeste,Mata Atlantica,4,170.4,93.6,16,20.7,83.5,54.2,272.0,28.2,95.8,27.5,0.378,deslizamento
BA,Nordeste,Caatinga,6,67.7,19.4,3,26.8,61.7,36.7,458.0,7.1,57.5,21.4,0.489,nenhum
ES,Sudeste,Mata Atlantica,10,69.1,40.5,9,23.8,68.2,67.4,307.0,10.3,252.7,31.9,0.318,nenhum
RO,Norte,Amazonia,3,388.2,171.6,29,24.0,93.9,31.8,67.0,3.3,15.2,18.0,0.629,inundacao
SC,Sul,Pampa,1,168.4,89.3,8,25.4,88.6,24.0,792.0,6.2,19.4,13.3,0.532,tempestade
GO,Centro-Oeste,Cerrado,4,198.7,86.8,16,27.7,73.8,47.2,765.0,2.1,28.8,19.2,0.634,tempestade
MG,Sudeste,Cerrado,8,63.6,36.7,6,19.0,71.4,57.3,621.0,11.2,108.5,23.6,0.212,nenhum
RO,Norte,Amazonia,2,1040.9,400.0,25,25.4,91.1,75.9,316.0,4.6,81.1,26.0,0.618,inundacao
GO,Centro-Oeste,Cerrado,5,123.8,90.0,10,22.3,80.0,67.6,1090.0,17.4,5388.5,45.6,0.423,tempestade
DF,Centro-Oeste,Cerrado,12,188.3,34.7,17,27.9,63.5,44.7,112.0,2.6,11.5,13.1,0.685,inundacao
SC,Sul,Mata Atlantica,1,274.6,162.8,21,21.8,82.6,38.2,436.0,16.4,56.3,23.2,0.765,deslizamento
ES,Sudeste,Cerrado,1,247.1,92.9,16,23.7,89.1,33.2,816.0,19.8,33.2,22.3,0.666,deslizamento
MS,Centro-Oeste,Cerrado,6,58.8,13.4,2,20.2,65.7,55.1,411.0,16.9,95.9,28.7,0.408,nenhum
BA,Nordeste,Cerrado,1,69.5,23.7,10,33.9,64.8,56.9,342.0,10.4,181.5,25.4,0.207,incendio_florestal
RN,Nordeste,Cerrado,1,101.0,23.6,11,31.4,59.7,52.5,665.0,12.0,70.1,15.4,0.426,incendio_florestal
DF,Centro-Oeste,Cerrado,3,163.9,80.9,16,24.1,59.7,34.4,780.0,7.4,85.9,16.3,0.337,nenhum
MS,Centro-Oeste,Cerrado,2,185.0,62.2,13,27.4,76.7,11.0,128.0,7.9,28.8,18.5,0.66,nenhum
AC,Norte,Amazonia,10,154.7,57.6,16,25.6,93.7,48.8,136.0,1.6,573.3,34.2,0.487,nenhum
RJ,Sudeste,Cerrado,2,230.5,52.9,21,23.0,75.1,8.4,1048.0,12.3,24.4,23.9,0.75,nenhum
RS,Sul,Pampa,7,144.3,35.1,7,11.8,89.6,44.7,705.0,4.2,0.5,9.2,0.469,nenhum
PI,Nordeste,Caatinga,9,51.8,13.5,3,26.5,60.7,43.0,621.0,13.4,20.1,19.7,0.218,incendio_florestal
MG,Sudeste,Mata Atlantica,8,89.8,16.4,11,19.5,76.0,42.2,766.0,9.5,1761.8,38.7,0.382,nenhum
RO,Norte,Amazonia,8,43.5,8.8,7,23.4,78.2,33.9,327.0,11.7,8.4,12.1,0.31,incendio_florestal
MG,Sudeste,Mata Atlantica,5,130.6,36.1,10,18.8,80.5,28.1,946.0,15.7,101.7,23.8,0.521,nenhum
BA,Nordeste,Caatinga,11,26.5,7.0,3,28.6,57.9,17.9,377.0,13.5,14.9,13.2,0.344,estiagem_seca
SP,Sudeste,Mata Atlantica,1,628.1,167.5,26,23.8,76.8,111.0,175.0,18.2,99.3,22.9,0.64,tempestade
MG,Sudeste,Cerrado,2,173.3,120.4,10,26.0,66.5,32.6,1115.0,27.7,259.6,33.9,0.488,deslizamento
SP,Sudeste,Mata Atlantica,11,210.3,135.8,15,23.1,86.8,51.1,800.0,28.2,24.9,22.3,0.575,deslizamento
PA,Norte,Amazonia,1,364.2,145.9,28,28.7,100.0,27.8,29.0,3.7,336.9,31.3,0.638,inundacao
SC,Sul,Pampa,3,69.3,21.9,6,18.0,76.8,37.2,81.0,26.5,250.8,34.4,0.266,deslizamento
SE,Nordeste,Caatinga,3,120.2,34.2,7,28.5,61.8,40.3,939.0,9.3,79.7,19.6,0.48,nenhum
RR,Norte,Cerrado,1,320.7,158.6,26,29.7,100.0,21.8,143.0,9.9,44.3,20.1,0.548,inundacao
SP,Sudeste,Mata Atlantica,2,241.1,36.2,17,27.6,100.0,14.4,1322.0,6.2,35.4,17.3,0.526,nenhum
BA,Nordeste,Caatinga,7,72.8,20.6,5,24.8,57.9,43.1,243.0,21.3,14.6,15.6,0.333,nenhum
ES,Sudeste,Mata Atlantica,8,66.0,40.5,7,19.1,77.9,31.4,1243.0,23.0,9.2,17.0,0.303,nenhum
RJ,Sudeste,Mata Atlantica,1,130.7,45.4,11,27.6,81.8,18.1,980.0,10.2,118.7,27.0,0.397,nenhum
AL,Nordeste,Cerrado,12,24.3,8.3,1,31.5,59.6,12.6,553.0,17.7,82.8,17.0,0.36,estiagem_seca
RS,Sul,Pampa,2,67.1,11.9,7,22.2,88.0,34.8,282.0,3.6,92.2,28.8,0.323,nenhum
SE,Nordeste,Caatinga,9,42.1,10.1,1,26.8,57.4,59.3,210.0,6.7,224.5,21.4,0.346,estiagem_seca
MS,Centro-Oeste,Pantanal,10,111.5,43.3,10,24.2,73.3,42.0,78.0,16.6,47.7,17.5,0.465,nenhum
CE,Nordeste,Cerrado,7,74.2,26.3,5,24.7,69.1,39.7,508.0,8.4,366.9,24.7,0.445,nenhum
SC,Sul,Mata Atlantica,6,53.8,19.8,3,18.0,85.5,39.1,1.0,11.3,4.3,12.9,0.293,nenhum
CE,Nordeste,Caatinga,2,126.3,71.4,10,31.4,68.5,21.3,243.0,6.6,731.5,33.7,0.447,estiagem_seca
RO,Norte,Amazonia,3,391.2,184.1,24,25.7,100.0,18.4,72.0,9.3,47.1,23.5,0.644,inundacao
MT,Centro-Oeste,Cerrado,11,163.2,80.3,11,25.8,95.0,28.2,314.0,1.9,17.2,19.5,0.437,nenhum
PR,Sul,Mata Atlantica,5,73.3,17.8,13,17.5,82.8,18.9,587.0,19.7,41.7,21.0,0.263,nenhum
SC,Sul,Mata Atlantica,1,128.1,47.5,10,23.1,80.5,21.3,222.0,7.3,529.9,23.2,0.426,nenhum
ES,Sudeste,Mata Atlantica,9,55.5,26.6,3,22.2,68.0,48.5,1631.0,12.2,18.3,15.3,0.408,tempestade
RS,Sul,Mata Atlantica,9,110.1,46.8,10,17.0,88.1,57.3,239.0,15.0,57.3,28.0,0.353,nenhum
RS,Sul,Mata Atlantica,1,174.8,94.2,15,23.6,87.0,16.4,967.0,11.7,10.5,13.4,0.519,nenhum
MT,Centro-Oeste,Pantanal,1,178.7,83.0,14,25.2,79.3,14.8,164.0,1.1,90.3,22.4,0.486,nenhum
RN,Nordeste,Cerrado,2,139.6,45.7,8,31.1,75.9,50.6,406.0,11.2,323.5,33.7,0.346,incendio_florestal
RJ,Sudeste,Mata Atlantica,1,231.7,94.9,15,27.3,91.6,47.9,144.0,10.8,76.0,22.9,0.594,tempestade
ES,Sudeste,Cerrado,8,30.1,12.9,4,22.8,70.6,31.5,993.0,12.5,28.7,24.8,0.339,estiagem_seca
PE,Nordeste,Caatinga,2,83.9,28.8,8,28.2,78.6,82.5,850.0,4.3,26.7,24.6,0.376,tempestade
AC,Norte,Amazonia,8,156.0,42.0,14,23.1,90.9,56.7,137.0,18.4,58.5,26.5,0.441,nenhum
MG,Sudeste,Mata Atlantica,3,159.6,29.4,12,20.1,86.5,46.0,709.0,9.0,112.4,22.3,0.474,nenhum
PB,Nordeste,Caatinga,12,43.8,16.9,3,31.8,68.5,32.2,519.0,4.6,182.0,31.9,0.286,estiagem_seca
PR,Sul,Pampa,9,133.0,23.6,11,18.0,58.8,17.3,593.0,14.8,10.4,17.8,0.424,nenhum
SE,Nordeste,Caatinga,5,38.2,30.1,1,28.9,66.7,58.9,410.0,6.0,23.9,23.1,0.341,estiagem_seca
TO,Norte,Amazonia,6,92.5,24.8,8,21.4,82.3,19.9,269.0,12.9,433.6,23.1,0.464,nenhum
SP,Sudeste,Cerrado,1,172.6,102.3,10,25.4,83.2,46.0,757.0,2.2,104.3,17.0,0.459,tempestade
AL,Nordeste,Cerrado,1,140.2,55.1,14,30.1,72.8,67.6,122.0,5.9,61.6,22.6,0.443,tempestade
SE,Nordeste,Caatinga,7,74.4,16.2,3,26.2,68.2,19.8,343.0,15.2,160.0,24.3,0.369,nenhum
ES,Sudeste,Mata Atlantica,1,202.0,92.9,14,24.5,84.5,33.7,138.0,22.7,1.5,11.3,0.701,deslizamento
RS,Sul,Mata Atlantica,8,121.3,35.6,7,13.9,75.1,27.0,590.0,19.0,135.6,30.9,0.223,nenhum
CE,Nordeste,Cerrado,5,145.1,30.1,15,23.2,68.2,33.2,68.0,7.3,2181.0,42.8,0.368,nenhum
PE,Nordeste,Caatinga,2,70.2,18.1,6,30.0,64.6,52.7,504.0,8.7,55.3,15.5,0.181,incendio_florestal
RJ,Sudeste,Mata Atlantica,7,81.6,24.1,6,18.7,79.4,18.9,824.0,21.1,75.1,17.2,0.428,nenhum
RS,Sul,Mata Atlantica,7,200.8,46.4,20,15.6,85.2,29.0,51.0,8.6,30.3,21.8,0.576,nenhum
MT,Centro-Oeste,Cerrado,9,52.6,19.5,4,23.3,69.4,14.1,538.0,6.4,11.8,16.9,0.396,estiagem_seca
CE,Nordeste,Mata Atlantica,3,145.7,47.9,10,27.2,60.7,40.5,498.0,10.9,23.4,15.0,0.48,nenhum
AC,Norte,Amazonia,7,69.1,8.0,7,20.6,85.5,25.8,166.0,8.6,189.6,16.8,0.338,nenhum
CE,Nordeste,Cerrado,11,27.6,3.8,3,31.6,69.0,11.2,259.0,2.6,115.5,20.5,0.293,estiagem_seca
CE,Nordeste,Cerrado,4,65.8,22.0,6,30.0,64.4,38.4,683.0,9.9,13.4,14.6,0.36,incendio_florestal
SP,Sudeste,Mata Atlantica,11,114.2,14.5,7,22.8,80.5,43.9,803.0,15.6,19.1,14.0,0.407,nenhum
